"BC","OriginalName","UpdatedName","species","kingdom_unite","phylum_unite","class_unite","order_unite","family_unite","genus_unite","species_unite","SH_unite"
25,"Puccinia_striiformis_var_tritici","Puccinia_striiformis_var_tritici","Puccinia striiformis","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Puccinia","Puccinia striiformis","SH0885930.10FU"
26,"Puccinia_triticina","Puccinia_recondita","Puccinia recondita","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Puccinia","Puccinia recondita","SH0885881.10FU"
27,"Puccinia_graminis","Puccinia_graminis","Puccinia graminis","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Puccinia","Puccinia graminis","SH0885936.10FU"
28,"Austropuccinia_psidii","Austropuccinia_psidii","Austropuccinia psidii","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","SH0932850.10FU"
29,"Leptosphaeria_maculans","Leptosphaeria_maculans","Leptosphaeria maculans","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","Leptosphaeria maculans","SH1006322.10FU"
30,"Sclerotinia_sclerotiorum","Sclerotinia_sclerotiorum","Sclerotinia sclerotiorum","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Sclerotinia","Sclerotinia sclerotiorum","SH0963836.10FU"
31,"Botrytis_cinerea","Botrytis_cinerea","Botrytis cinerea","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis cinerea","SH0963836.10FU"
32,"Botrytis_fabae","Botrytis_fabae","Botrytis fabae","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis fabae","SH0963836.10FU"
33,"Zymoseptoria_tritici","Zymoseptoria_tritici","Zymoseptoria tritici","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zymoseptoria","Zymoseptoria tritici","SH0971958.10FU"
34,"Sporisorium_scitamineum","Sporisorium_scitamineum","Sporisorium scitamineum","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Sporisorium","Sporisorium scitamineum","SH1009406.10FU"
35,"Erysiphe_necator","Erysiphe_necator","Erysiphe necator","Fungi","Ascomycota","Leotiomycetes","Helotiales","Erysiphaceae","Erysiphe","Erysiphe necator","SH0966427.10FU"
36,"Austropuccinia_psidii_2","Austropuccinia_psidii_2","Austropuccinia psidii","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Sphaerophragmiaceae","Austropuccinia","Austropuccinia psidii","SH0932850.10FU"
37,"Pyrenophora_tritici-repentis","Pyrenophora_tritici-repentis","Pyrenophora tritici-repentis","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","Pyrenophora tritici-repentis","SH0761985.10FU"
38,"Cryptovalsa_ampelina","Cryptovalsa_ampelina","Cryptovalsa ampelina","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Cryptovalsa","Cryptovalsa ampelina","SH0733199.10FU"
39,"Eutypa_lata","Eutypa_lata","Eutypa lata","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Eutypa","Eutypa lata","SH0825449.10FU"
40,"Diplodia_seriata","Diplodia_seriata","Diplodia seriata","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia","Diplodia seriata","SH0883329.10FU"
41,"Fusarium_pseudograminearum","Fusarium_pseudograminearum","Fusarium pseudograminearum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium pseudograminearum","SH0730866.10FU"
42,"Aspergillus_flavum","Aspergillus_flavus","Aspergillus flavus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","SH0940342.10FU"
43,"Aspergillus_fumigatus","Aspergillus_fumigatus","Aspergillus fumigatus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus fumigatus","SH0940075.10FU"
44,"Aspergillus_niger","Aspergillus_niger","Aspergillus niger","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus niger","SH0939958.10FU"
45,"Blastobotrys_adeninivorans","Blastobotrys_adeninivorans","Blastobotrys adeninivorans","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Blastobotrys","Blastobotrys adeninivorans","SH0865547.10FU"
46,"Blastobotrys_proliferans","Blastobotrys_proliferans","Blastobotrys proliferans","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Blastobotrys","Blastobotrys proliferans","SH1014590.10FU"
